=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[74.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[74.00] MASTER | DISTRIB | INFO | KV[0058] -> 워커4 배정, 대기열=10/10, 일반
[75.00] MASTER | NET | INFO | WORKER2 -> MASTER, 메시지=P2P, 통신 지연=1.00초
[75.00] MASTER | LB | SUCCESS | 워커2 작업 수신, 대상 워커4, 전송ID=4-1, 수량=3, 작업=0036:0,0030:0,0028:0
[76.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=P2P_ACK, 통신 지연=1.00초
[77.00] MASTER | NET | INFO | WORKER3 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[78.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[78.00] MASTER | DISTRIB | INFO | KV[0059] -> 워커3 배정, 대기열=2/10, 일반
[79.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[79.00] MASTER | DISTRIB | INFO | KV[0060] -> 워커3 배정, 대기열=3/10, 일반
[80.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[80.00] MASTER | DISTRIB | INFO | KV[0061] -> 워커3 배정, 대기열=4/10, 일반
[81.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[81.00] MASTER | DISTRIB | INFO | KV[0062] -> 워커3 배정, 대기열=5/10, 일반
[82.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[82.00] MASTER | DISTRIB | INFO | KV[0063] -> 워커3 배정, 대기열=6/10, 일반
[83.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[83.00] MASTER | DISTRIB | INFO | KV[0064] -> 워커3 배정, 대기열=7/10, 일반
[84.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[84.00] MASTER | DISTRIB | INFO | KV[0065] -> 워커3 배정, 대기열=8/10, 일반
[85.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[85.00] MASTER | DISTRIB | INFO | KV[0066] -> 워커3 배정, 대기열=9/10, 일반
[86.00] MASTER | NET | INFO | MASTER -> WORKER3, 메시지=TASK, 통신 지연=1.00초
[86.00] MASTER | DISTRIB | INFO | KV[0067] -> 워커3 배정, 대기열=10/10, 일반
[87.00] MASTER | NET | INFO | WORKER2 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[88.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[88.00] MASTER | DISTRIB | INFO | KV[0068] -> 워커2 배정, 대기열=4/10, 일반
[89.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[89.00] MASTER | DISTRIB | INFO | KV[0069] -> 워커2 배정, 대기열=5/10, 일반
[90.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[90.00] MASTER | DISTRIB | INFO | KV[0070] -> 워커2 배정, 대기열=6/10, 일반
[91.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[91.00] MASTER | DISTRIB | INFO | KV[0071] -> 워커2 배정, 대기열=7/10, 일반
[92.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[92.00] MASTER | DISTRIB | INFO | KV[0072] -> 워커2 배정, 대기열=8/10, 일반
[93.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[93.00] MASTER | DISTRIB | INFO | KV[0073] -> 워커2 배정, 대기열=9/10, 일반
[94.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[94.00] MASTER | DISTRIB | INFO | KV[0074] -> 워커2 배정, 대기열=10/10, 일반
[95.00] MASTER | NET | INFO | WORKER2 -> MASTER, 메시지=P2P, 통신 지연=1.00초
[95.00] MASTER | LB | SUCCESS | 워커2 작업 수신, 대상 워커1, 전송ID=1-1, 수량=3, 작업=0029:0,0025:0,0021:0
[96.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=P2P_ACK, 통신 지연=1.00초
[97.00] MASTER | NET | INFO | WORKER2 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[98.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[98.00] MASTER | DISTRIB | INFO | KV[0075] -> 워커2 배정, 대기열=7/10, 일반
[99.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[99.00] MASTER | DISTRIB | INFO | KV[0076] -> 워커2 배정, 대기열=8/10, 일반
[100.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[100.00] MASTER | DISTRIB | INFO | KV[0077] -> 워커2 배정, 대기열=9/10, 일반
[101.00] MASTER | NET | INFO | MASTER -> WORKER2, 메시지=TASK, 통신 지연=1.00초
[101.00] MASTER | DISTRIB | INFO | KV[0078] -> 워커2 배정, 대기열=10/10, 일반
[102.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[103.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
